Date,Region_Name,Area_Code,Index_SA
1998-06-01,South West,E12000009,20.7
1998-06-01,South East,E12000008,21.9
1998-06-01,North East,E12000001,28.5
1998-06-01,London,E12000007,19.2
1998-06-01,East Midlands,E12000004,21.3
1998-06-01,East of England,E12000006,20.3
1998-06-01,West Midlands Region,E12000005,22.9
1998-06-01,Yorkshire and The Humber,E12000003,23.3
1998-06-01,North West,E12000002,22.4
1998-06-01,England and Wales,K04000001,21.2
1998-07-01,England,E92000001,21.3
1998-07-01,Wales,W92000004,22.2
1998-07-01,South West,E12000009,21.1
1998-07-01,South East,E12000008,22.1
1998-07-01,North West,E12000002,22.5
1998-07-01,West Midlands Region,E12000005,23
1998-07-01,Yorkshire and The Humber,E12000003,23.6
1998-07-01,East of England,E12000006,20.3
1998-07-01,East Midlands,E12000004,21.3
1998-07-01,North East,E12000001,28.3
1998-07-01,London,E12000007,19.3
1998-07-01,England and Wales,K04000001,21.3
1998-08-01,England,E92000001,21.3
1998-08-01,Wales,W92000004,22.2
1998-08-01,East Midlands,E12000004,21.4
1998-08-01,West Midlands Region,E12000005,23
1998-08-01,East of England,E12000006,20.3
1998-08-01,Yorkshire and The Humber,E12000003,23.6
1998-08-01,North West,E12000002,22.3
1998-08-01,North East,E12000001,28.6
1998-08-01,South West,E12000009,21.1
1998-08-01,South East,E12000008,22.2
1998-08-01,London,E12000007,19.3
1998-08-01,England and Wales,K04000001,21.3
1998-09-01,Wales,W92000004,22.3
1998-09-01,England,E92000001,21.3
1998-09-01,West Midlands Region,E12000005,23
1998-09-01,South West,E12000009,20.9
1998-09-01,East Midlands,E12000004,21.5
1998-09-01,East of England,E12000006,20.6
1998-09-01,North East,E12000001,29.1
1998-09-01,North West,E12000002,22.4
1998-09-01,London,E12000007,19.4
1998-09-01,Yorkshire and The Humber,E12000003,23.4
1998-09-01,South East,E12000008,22.3
1998-09-01,England and Wales,K04000001,21.4
1998-10-01,Wales,W92000004,22.3
1998-10-01,England,E92000001,21.4
1998-10-01,London,E12000007,19.6
1998-10-01,South East,E12000008,22.4
1998-10-01,West Midlands Region,E12000005,23.1
1998-10-01,East of England,E12000006,20.7
1998-10-01,South West,E12000009,21.1
1998-10-01,East Midlands,E12000004,21.6
1998-10-01,Yorkshire and The Humber,E12000003,23.7
1998-10-01,North East,E12000001,28.5
1998-10-01,North West,E12000002,22.5
1998-10-01,England and Wales,K04000001,21.5
1998-11-01,Wales,W92000004,22.1
1998-11-01,England,E92000001,21.4
1998-11-01,South East,E12000008,22.5
1998-11-01,North West,E12000002,22.5
1998-11-01,North East,E12000001,28.6
1998-11-01,Yorkshire and The Humber,E12000003,23.1
1998-11-01,East Midlands,E12000004,21.4
1998-11-01,West Midlands Region,E12000005,23.1
1998-11-01,London,E12000007,19.6
1998-11-01,East of England,E12000006,20.7
1998-11-01,South West,E12000009,21.3
1998-11-01,England and Wales,K04000001,21.5
1998-12-01,Wales,W92000004,22.6
1998-12-01,England,E92000001,21.6
1998-12-01,East Midlands,E12000004,21.7
1998-12-01,East of England,E12000006,20.7
1998-12-01,West Midlands Region,E12000005,23.2
1998-12-01,Yorkshire and The Humber,E12000003,23.6
1998-12-01,North East,E12000001,28.8
1998-12-01,North West,E12000002,22.6
1998-12-01,South East,E12000008,22.5
1998-12-01,South West,E12000009,21.4
1998-12-01,London,E12000007,19.8
1998-12-01,England and Wales,K04000001,21.6
1999-01-01,England,E92000001,21.9
1999-01-01,Wales,W92000004,22.9
1999-01-01,East of England,E12000006,21
1999-01-01,Yorkshire and The Humber,E12000003,23.7
1999-01-01,North East,E12000001,28.9
1999-01-01,South West,E12000009,21.8
1999-01-01,West Midlands Region,E12000005,23.7
1999-01-01,South East,E12000008,22.9
1999-01-01,London,E12000007,19.9
1999-01-01,North West,E12000002,22.7
1999-01-01,East Midlands,E12000004,21.9
1999-01-01,England and Wales,K04000001,21.9
1999-02-01,England,E92000001,22
1999-02-01,Wales,W92000004,22.8
1999-02-01,West Midlands Region,E12000005,23.5
1999-02-01,London,E12000007,20.1
1999-02-01,North East,E12000001,28.4
1999-02-01,East of England,E12000006,21.2
1999-02-01,South West,E12000009,22
1999-02-01,East Midlands,E12000004,21.8
1999-02-01,North West,E12000002,22.8
1999-02-01,Yorkshire and The Humber,E12000003,23.8
1999-02-01,South East,E12000008,23.1
1999-02-01,England and Wales,K04000001,22
1999-03-01,Wales,W92000004,22.7
1999-03-01,England,E92000001,22.2
1999-03-01,East Midlands,E12000004,22.1
1999-03-01,North West,E12000002,22.9
1999-03-01,South West,E12000009,22.4
1999-03-01,South East,E12000008,23.2
1999-03-01,Yorkshire and The Humber,E12000003,24.1
1999-03-01,West Midlands Region,E12000005,23.7
1999-03-01,East of England,E12000006,21.3
1999-03-01,London,E12000007,20.4
1999-03-01,North East,E12000001,28.9
1999-03-01,England and Wales,K04000001,22.2
1999-04-01,Wales,W92000004,22.9
1999-04-01,England,E92000001,22.3
1999-04-01,South East,E12000008,23.4
1999-04-01,London,E12000007,20.6
1999-04-01,East Midlands,E12000004,22.6
1999-04-01,West Midlands Region,E12000005,23.9
1999-04-01,North West,E12000002,23.1
1999-04-01,North East,E12000001,28.8
1999-04-01,Yorkshire and The Humber,E12000003,23.8
1999-04-01,East of England,E12000006,21.4
1999-04-01,South West,E12000009,22.3
1999-04-01,England and Wales,K04000001,22.3
1999-05-01,England,E92000001,22.4
1999-05-01,Wales,W92000004,22.8
1999-05-01,London,E12000007,20.8
1999-05-01,East Midlands,E12000004,22.4
1999-05-01,North East,E12000001,28.8
1999-05-01,East of England,E12000006,21.5
1999-05-01,South West,E12000009,22.5
1999-05-01,Yorkshire and The Humber,E12000003,24.2
1999-05-01,North West,E12000002,23.3
1999-05-01,West Midlands Region,E12000005,23.9
1999-05-01,South East,E12000008,23.6
1999-05-01,England and Wales,K04000001,22.5
1999-06-01,Wales,W92000004,23
1999-06-01,England,E92000001,22.7
1999-06-01,North East,E12000001,29.6
1999-06-01,North West,E12000002,23.4
1999-06-01,South West,E12000009,22.9
1999-06-01,Yorkshire and The Humber,E12000003,24.3
1999-06-01,West Midlands Region,E12000005,24.3
1999-06-01,East Midlands,E12000004,22.5
1999-06-01,East of England,E12000006,22
1999-06-01,London,E12000007,21.2
1999-06-01,South East,E12000008,23.9
1999-06-01,England and Wales,K04000001,22.7
1999-07-01,England,E92000001,22.9
1999-07-01,Wales,W92000004,23.3
1999-07-01,South West,E12000009,23
1999-07-01,South East,E12000008,24.2
1999-07-01,East Midlands,E12000004,22.8
1999-07-01,North East,E12000001,29.5
1999-07-01,West Midlands Region,E12000005,24.5
1999-07-01,North West,E12000002,23.5
1999-07-01,East of England,E12000006,22.1
1999-07-01,Yorkshire and The Humber,E12000003,24.1
1999-07-01,London,E12000007,21.6
1999-07-01,England and Wales,K04000001,23
1999-08-01,Wales,W92000004,23.1
1999-08-01,England,E92000001,23.2
1999-08-01,West Midlands Region,E12000005,24.7
1999-08-01,Yorkshire and The Humber,E12000003,24.4
1999-08-01,East of England,E12000006,22.3
1999-08-01,East Midlands,E12000004,22.9
1999-08-01,London,E12000007,22.1
1999-08-01,North East,E12000001,29.3
1999-08-01,North West,E12000002,23.7
1999-08-01,South East,E12000008,24.7
1999-08-01,South West,E12000009,23.2
1999-08-01,England and Wales,K04000001,23.2
1999-09-01,England,E92000001,23.6
1999-09-01,Wales,W92000004,23.7
1999-09-01,Yorkshire and The Humber,E12000003,24.5
1999-09-01,East of England,E12000006,22.9
1999-09-01,North East,E12000001,29.8
1999-09-01,North West,E12000002,23.9
1999-09-01,West Midlands Region,E12000005,24.9
